e2e_latency,mem_used,duration,billed_duration,import_time
1.3814399242401123,95,277.61,771,0.3632786273956299
1.217766523361206,96,300.39,780,0.3215980529785156
1.1494777202606201,96,290.72,749,0.3306264877319336
1.354511022567749,95,293.98,821,0.35848450660705566
1.0316495895385742,96,274.06,718,0.3156099319458008
1.2955138683319092,96,298.14,797,0.35816216468811035
1.224639892578125,96,318.32,863,0.37717461585998535
1.1774990558624268,96,302.42,811,0.36159563064575195
1.379667043685913,96,329.63,966,0.4389207363128662
1.1811466217041016,96,301.78,805,0.36918187141418457
1.1055731773376465,96,285.84,730,0.31867480278015137
1.147106647491455,96,311.22,812,0.36963462829589844
1.243544340133667,96,296.94,854,0.390186071395874
1.2800943851470947,96,331.42,965,0.4769766330718994
1.341614007949829,96,331.96,953,0.45542263984680176
1.172912359237671,96,312.33,845,0.37113142013549805
1.1681709289550781,96,329.00,830,0.3699913024902344
1.1786448955535889,95,319.96,815,0.34520602226257324
1.187652349472046,96,307.93,842,0.3688545227050781
1.197049617767334,96,306.58,806,0.34990429878234863
1.1319265365600586,96,299.18,777,0.34904932975769043
1.2152280807495117,96,296.96,928,0.5004012584686279
1.1940281391143799,96,308.68,847,0.37839579582214355
1.1184577941894531,96,293.52,775,0.35032153129577637
1.599888801574707,96,358.21,1203,0.5930497646331787
1.1780033111572266,96,335.63,842,0.36924004554748535
1.152223825454712,96,291.81,818,0.37178659439086914
1.1312928199768066,96,307.45,793,0.33576035499572754
1.1677370071411133,96,318.24,831,0.37170839309692383
1.2647008895874023,96,332.42,957,0.4352595806121826
1.211350440979004,96,350.02,891,0.38079094886779785
1.216515302658081,96,310.62,857,0.37081336975097656
1.2162158489227295,96,305.91,856,0.3722550868988037
1.2179851531982422,96,304.72,854,0.3744332790374756
1.028583288192749,96,277.93,737,0.3348574638366699
1.141564130783081,96,298.29,785,0.34189295768737793
1.1737489700317383,96,314.17,811,0.36582374572753906
1.1833453178405762,96,303.82,810,0.35759425163269043
1.3500993251800537,95,337.06,965,0.4090902805328369
1.3575356006622314,95,313.07,941,0.4334888458251953
1.0277364253997803,96,281.79,696,0.2883644104003906
1.1185283660888672,96,299.59,766,0.3371152877807617
1.255073070526123,96,316.81,866,0.39569520950317383
1.223494291305542,96,300.92,882,0.4052450656890869
1.353825330734253,96,358.20,982,0.40598320960998535
1.1551060676574707,95,313.19,834,0.37807178497314453
1.4376287460327148,95,341.94,1013,0.49112534523010254
1.1556010246276855,96,308.17,858,0.4060788154602051
1.2393691539764404,96,315.18,879,0.4010045528411865
1.0690937042236328,95,293.65,766,0.34724903106689453
1.287255048751831,96,324.78,912,0.39791083335876465
1.1069111824035645,95,293.79,761,0.33452749252319336
1.1477665901184082,95,306.47,787,0.3480713367462158
1.6366157531738281,96,429.94,1298,0.6100864410400391
1.2539396286010742,96,331.08,941,0.43746447563171387
1.1434078216552734,96,307.29,819,0.36164021492004395
1.721099853515625,96,514.09,1304,0.4888308048248291
1.2724103927612305,96,327.35,913,0.4252047538757324
1.1413116455078125,96,309.74,799,0.3348703384399414
1.28466796875,96,358.41,937,0.4130263328552246
1.2342891693115234,96,345.03,907,0.37793850898742676
1.9245176315307617,96,396.41,1527,0.7481966018676758
1.2479686737060547,96,316.66,904,0.42728281021118164
1.3309781551361084,96,335.25,923,0.40239620208740234
1.1811370849609375,96,307.07,825,0.349926233291626
1.7443022727966309,95,373.29,1381,0.6639978885650635
1.2880527973175049,96,273.63,811,0.349806547164917
1.1430130004882812,96,299.45,789,0.35354137420654297
1.368468999862671,96,373.71,974,0.43661975860595703
1.2246313095092773,96,310.83,842,0.37952661514282227
1.3316872119903564,95,330.56,887,0.4166297912597656
1.6829431056976318,96,456.94,1280,0.6083121299743652
1.200430154800415,96,304.50,832,0.3766748905181885
1.1790196895599365,96,282.86,840,0.3989717960357666
1.4924416542053223,95,316.24,1071,0.40336012840270996
1.2590291500091553,96,339.04,909,0.3903310298919678
1.178790807723999,96,310.31,829,0.36942124366760254
1.8240933418273926,96,392.85,1425,0.7057578563690186
1.3689243793487549,96,359.47,990,0.4595000743865967
1.1883115768432617,96,306.20,807,0.3472123146057129
1.1685404777526855,96,301.51,825,0.3579692840576172
1.7052834033966064,95,383.16,1319,0.6268966197967529
1.1675388813018799,96,297.73,802,0.3544313907623291
1.273771047592163,96,327.74,917,0.414931058883667
1.2038209438323975,96,316.11,839,0.3681483268737793
1.2243356704711914,96,328.88,875,0.408130407333374
1.3172554969787598,96,318.79,917,0.44234180450439453
1.291595458984375,95,310.38,906,0.4098937511444092
1.1723110675811768,96,303.98,846,0.39628076553344727
1.1953327655792236,96,310.15,868,0.39374685287475586
1.7818093299865723,96,376.61,1461,0.7807273864746094
1.2986795902252197,96,327.70,950,0.4259376525878906
1.1304163932800293,96,309.95,827,0.36405444145202637
1.1136212348937988,96,299.35,768,0.3333253860473633
1.1786019802093506,96,309.70,828,0.370774507522583
1.2379987239837646,95,317.34,870,0.38214826583862305
1.2403788566589355,95,316.10,901,0.41457676887512207
1.1026740074157715,96,320.51,776,0.3248155117034912
1.2592566013336182,96,350.92,930,0.4052894115447998
1.252624273300171,96,326.31,893,0.39021849632263184
