e2e_latency,mem_used,duration,billed_duration,import_time
29.10347580909729,306,16767.47,16768,16.627492666244507
12.945024728775024,173,2299.81,2300,2.198726177215576
8.707864761352539,534,8.40,8208,7.983716726303101
8.152989864349365,533,6.76,7572,7.363468885421753
12.906662464141846,176,2432.67,2433,2.3290932178497314
4.568616628646851,534,8.05,4180,3.898279905319214
4.72672438621521,534,20.88,4369,3.974198818206787
4.368319511413574,533,7.20,4051,3.809495687484741
4.594135761260986,533,7.33,4198,3.907163619995117
4.703871011734009,534,7.54,4337,4.0587546825408936
4.360374450683594,534,6.87,3971,3.754680633544922
4.314493894577026,533,6.67,3899,3.6245672702789307
4.722107172012329,533,7.70,4385,4.048553943634033
4.358221054077148,533,6.70,4004,3.7715044021606445
4.812449932098389,534,9.59,4461,4.131622076034546
4.456164598464966,533,6.62,4066,3.7843618392944336
4.387824773788452,533,6.90,4012,3.7213730812072754
4.167811632156372,534,8.04,3831,3.6087210178375244
4.6050825119018555,533,7.70,4234,3.9167141914367676
4.479866981506348,533,8.42,4115,3.838463306427002
4.639767169952393,534,7.32,4271,3.9319019317626953
4.40264630317688,533,8.08,4087,3.8113584518432617
4.369814395904541,534,8.09,4043,3.811141014099121
4.50626277923584,534,8.95,4140,3.824310541152954
3.875562906265259,533,6.45,3429,3.246497631072998
4.296380996704102,533,7.20,3953,3.7190663814544678
4.595914602279663,533,6.90,4226,3.888476610183716
4.649548053741455,533,7.87,4266,3.908975601196289
4.381324052810669,533,7.35,4018,3.750331163406372
4.518844127655029,533,7.60,4149,3.815084934234619
4.126099586486816,534,8.14,3849,3.6313178539276123
4.313870668411255,533,9.26,4012,3.731290340423584
3.565342664718628,534,7.27,3245,3.0740082263946533
4.937618255615234,533,7.91,4541,4.168538570404053
4.244953632354736,533,6.98,3938,3.689079523086548
4.491579294204712,534,8.09,4152,3.855977773666382
4.600827693939209,534,12.10,4193,3.928351640701294
4.446252346038818,533,6.89,4133,3.8664145469665527
4.48042893409729,533,6.94,4128,3.8978240489959717
4.563702583312988,533,7.59,4244,3.9561960697174072
4.913159132003784,533,9.28,4542,4.15293025970459
4.27095890045166,533,6.58,3925,3.689460039138794
4.38749098777771,533,7.22,4030,3.7751381397247314
4.120373964309692,533,6.84,3823,3.5900912284851074
4.2606000900268555,533,8.29,3945,3.6923513412475586
4.6565775871276855,533,7.24,4289,3.8066582679748535
5.000686407089233,533,8.77,4652,4.317252159118652
4.229806900024414,534,10.39,3921,3.6595706939697266
4.504460334777832,533,7.65,4097,3.756209135055542
4.629701137542725,533,7.32,4287,3.9847524166107178
4.665699005126953,533,6.87,4278,3.9541704654693604
4.0972559452056885,534,8.57,3792,3.5277135372161865
4.212841510772705,534,7.47,3866,3.52278733253479
4.182457208633423,534,7.44,3826,3.6078336238861084
4.23385214805603,533,6.98,3918,3.7033233642578125
4.555680513381958,533,8.15,4144,3.8413217067718506
4.64511775970459,533,7.12,4284,3.958211898803711
4.606499671936035,534,9.62,4295,4.037826061248779
4.101290225982666,533,5.95,3740,3.4982640743255615
4.756267786026001,533,8.06,4418,4.133018732070923
4.263520240783691,533,6.27,3906,3.6893985271453857
4.780216455459595,534,8.02,4341,3.975965738296509
4.412688493728638,533,6.70,4051,3.816094160079956
4.328366756439209,533,7.06,4018,3.7438395023345947
4.61408257484436,533,7.55,4273,3.9270565509796143
4.424620628356934,533,6.78,4083,3.8473291397094727
5.6200408935546875,534,10.02,5284,4.996430158615112
4.876480340957642,533,7.51,4488,4.1228368282318115
5.152836799621582,533,9.58,4768,4.330634355545044
4.8850417137146,533,13.73,4468,4.093486547470093
4.510716199874878,534,8.33,4120,3.8602895736694336
4.0048723220825195,533,6.51,3658,3.457594633102417
4.498466491699219,533,6.73,4162,3.8622782230377197
4.887009382247925,533,7.94,4534,4.099944353103638
4.620744705200195,534,7.69,4173,3.8425869941711426
4.247376441955566,533,6.93,3890,3.6328203678131104
3.759150743484497,533,7.94,3398,3.210292100906372
4.0547003746032715,533,6.77,3740,3.5511021614074707
5.275335788726807,534,12.71,4877,4.6088478565216064
5.442530870437622,533,8.97,4948,4.436194658279419
5.0659379959106445,534,7.72,4679,4.327343940734863
4.20210599899292,533,6.55,3874,3.604071855545044
