e2e_latency,mem_used,duration,billed_duration,import_time
7.673401832580566,271,330.98,6961,6.468474864959717
3.848813056945801,271,307.86,3311,2.749404191970825
2.586850643157959,271,294.90,2239,1.7625732421875
2.4724819660186768,271,385.12,2162,1.629831314086914
2.9965908527374268,271,287.72,2552,2.117125988006592
2.9590954780578613,271,310.44,2540,2.0923802852630615
3.1755332946777344,271,311.42,2653,2.1827991008758545
2.8449313640594482,271,295.19,2548,2.0232508182525635
2.787754774093628,271,310.55,2434,1.927619457244873
2.6682989597320557,271,277.14,2351,1.8348701000213623
3.169814348220825,271,297.51,2784,2.214102029800415
2.9480175971984863,271,289.77,2514,1.960639238357544
3.1096396446228027,271,297.00,2768,2.2483134269714355
2.825108289718628,271,299.74,2475,1.9707698822021484
2.8426883220672607,271,297.07,2465,1.9525508880615234
3.4432268142700195,271,304.31,3049,2.4454376697540283
2.4069840908050537,271,255.88,2086,1.7018568515777588
2.569735288619995,271,281.11,2283,1.8145959377288818
3.415278196334839,271,291.10,3042,2.369572162628174
2.8667209148406982,271,288.20,2516,2.0009818077087402
2.707576036453247,271,286.40,2437,1.9239096641540527
2.6884026527404785,271,289.36,2361,1.8508918285369873
2.96113657951355,271,286.19,2635,2.0255868434906006
2.4112515449523926,271,249.79,2081,1.6477880477905273
2.693930149078369,271,279.13,2339,1.891263484954834
2.7928950786590576,271,285.09,2413,1.9039134979248047
2.6001503467559814,271,280.45,2269,1.8199424743652344
2.8280553817749023,271,321.68,2454,1.9607703685760498
2.6399688720703125,271,277.47,2328,1.8834409713745117
2.757964611053467,271,277.71,2376,1.8966267108917236
3.239284038543701,271,302.51,2904,2.338874340057373
2.2853481769561768,271,243.30,1972,1.578822135925293
3.0165674686431885,271,291.89,2617,2.0932469367980957
2.842853546142578,271,279.21,2503,1.9355671405792236
2.962834358215332,271,275.85,2575,2.0769009590148926
2.738067626953125,271,286.57,2411,1.9215738773345947
3.1691644191741943,271,315.56,2764,2.2390382289886475
2.708916187286377,271,272.86,2377,1.861699104309082
2.7638158798217773,271,291.83,2418,1.9318630695343018
2.9009358882904053,271,301.86,2563,2.0442209243774414
2.991724967956543,271,291.21,2651,2.1279757022857666
2.935493230819702,271,311.97,2549,2.012261152267456
2.761820077896118,271,272.82,2407,1.9178075790405273
3.172818660736084,271,299.34,2885,2.2193877696990967
3.6037888526916504,271,339.64,3291,2.603013038635254
2.548292398452759,271,278.54,2215,1.7771966457366943
2.5569992065429688,271,278.57,2252,1.8130080699920654
2.8563361167907715,271,303.07,2524,1.9868900775909424
3.3536410331726074,271,342.43,2970,2.3412768840789795
2.9217934608459473,271,293.71,2563,1.9926586151123047
2.30497670173645,271,249.56,2009,1.5949971675872803
2.5331685543060303,271,286.28,2139,1.7305800914764404
2.723909378051758,271,300.04,2402,1.8905682563781738
2.809006452560425,271,335.07,2497,1.950352430343628
2.607105016708374,271,280.31,2306,1.8152379989624023
2.5951478481292725,271,292.45,2314,1.8476684093475342
2.6704471111297607,271,287.73,2299,1.8579416275024414
3.0533950328826904,271,288.82,2721,2.175089120864868
3.093334674835205,271,324.17,2730,2.151907444000244
2.797168731689453,271,294.71,2459,1.984786033630371
2.5235531330108643,271,276.34,2205,1.7588281631469727
2.3504116535186768,271,249.21,2061,1.6858327388763428
2.3578920364379883,271,261.02,2045,1.650573968887329
2.7696378231048584,271,321.55,2457,1.920989751815796
2.8580682277679443,271,294.17,2579,2.0927133560180664
3.1618967056274414,271,297.18,2838,2.277676582336426
2.5392682552337646,271,282.29,2240,1.8196642398834229
2.7349205017089844,271,291.84,2381,1.8584504127502441
2.6776204109191895,271,267.85,2292,1.8413429260253906
2.8839361667633057,272,299.86,2551,2.029768705368042
2.2896687984466553,271,252.22,1980,1.5639097690582275
3.2137820720672607,271,316.13,2858,2.2960915565490723
2.617281436920166,271,291.07,2350,1.8306453227996826
2.8500218391418457,271,288.04,2566,2.0632972717285156
3.0634961128234863,271,307.59,2698,2.1047377586364746
2.8851709365844727,271,304.99,2561,2.0326457023620605
2.903959274291992,271,311.96,2615,2.0906929969787598
2.872412919998169,271,284.41,2544,1.9747178554534912
2.9825141429901123,271,286.60,2598,2.0881998538970947
2.576897382736206,271,278.96,2261,1.8106298446655273
2.6735286712646484,271,281.49,2380,1.9248621463775635
