e2e_latency,mem_used,duration,billed_duration,import_time
8.553651571273804,144,1426.00,7933,6.139755487442017
2.9825193881988525,143,1559.15,2485,0.749779462814331
2.6689751148223877,144,1414.15,2193,0.6180646419525146
2.477949619293213,143,1337.99,2064,0.5713033676147461
2.434929370880127,144,1375.62,2109,0.6088900566101074
2.7042696475982666,144,1486.44,2363,0.6984717845916748
2.87001633644104,143,1464.61,2433,0.7330718040466309
2.842021942138672,145,1588.97,2481,0.7362384796142578
2.538785219192505,144,1368.21,2131,0.6146414279937744
2.4641401767730713,144,1487.47,2173,0.5618808269500732
2.4152865409851074,145,1383.31,2061,0.5373563766479492
2.43583083152771,143,1383.59,2096,0.5773379802703857
2.4448111057281494,143,1410.77,2126,0.5821545124053955
2.5009653568267822,143,1413.77,2170,0.6199398040771484
2.5000131130218506,144,1506.11,2206,0.5739688873291016
2.4734103679656982,143,1374.09,2149,0.6394963264465332
2.711981773376465,144,1488.69,2385,0.7017319202423096
2.601346969604492,144,1452.32,2237,0.6311767101287842
2.668613910675049,143,1439.73,2242,0.63509202003479
2.5786709785461426,144,1502.40,2256,0.5936169624328613
2.4611704349517822,144,1388.86,2139,0.6010794639587402
2.591371774673462,144,1434.36,2242,0.6395478248596191
2.7027361392974854,143,1563.93,2383,0.6757245063781738
2.4541563987731934,144,1366.53,2138,0.637805700302124
2.5669639110565186,143,1365.52,2203,0.6676135063171387
2.471961259841919,143,1429.49,2179,0.6052572727203369
2.507730007171631,143,1504.02,2224,0.5919604301452637
2.522284984588623,144,1357.37,2180,0.6947331428527832
2.3279073238372803,144,1312.97,1990,0.5504286289215088
2.5653674602508545,143,1505.54,2235,0.5993895530700684
2.6286001205444336,144,1426.98,2179,0.5909075736999512
2.3789150714874268,143,1330.29,2022,0.5495510101318359
2.576815128326416,144,1523.62,2248,0.5852377414703369
2.658174991607666,144,1518.83,2351,0.6936788558959961
2.308122396469116,144,1250.99,2005,0.5916168689727783
2.7667906284332275,143,1460.46,2361,0.7130112648010254
2.3568027019500732,144,1363.30,2031,0.5363814830780029
2.41805362701416,144,1427.39,2114,0.563563346862793
2.3593039512634277,144,1374.97,2046,0.5460817813873291
2.273298978805542,144,1357.07,1976,0.4969308376312256
2.5370681285858154,143,1451.33,2213,0.6306779384613037
2.3215341567993164,143,1312.15,2039,0.5649139881134033
2.4654734134674072,144,1437.72,2159,0.5908617973327637
2.5384299755096436,144,1467.22,2148,0.564741849899292
2.8128907680511475,143,1468.71,2464,0.7908785343170166
2.480405807495117,144,1430.89,2144,0.5851037502288818
2.5477073192596436,143,1457.17,2248,0.6172964572906494
2.2805683612823486,144,1342.81,1985,0.5242834091186523
2.4795031547546387,144,1433.28,2150,0.5651237964630127
2.5825552940368652,144,1411.74,2236,0.6496927738189697
2.391655921936035,144,1354.47,2121,0.6376867294311523
2.8873367309570312,143,1537.64,2508,0.7630231380462646
2.582933187484741,143,1397.85,2201,0.619030237197876
2.545806407928467,145,1504.65,2240,0.5974695682525635
2.5249006748199463,145,1376.04,2202,0.6727163791656494
2.4311790466308594,143,1383.90,2095,0.5821444988250732
2.474799633026123,143,1366.17,2151,0.635575532913208
2.547027587890625,144,1402.36,2111,0.5736808776855469
2.9606120586395264,144,1460.10,2580,0.8850252628326416
2.4460670948028564,143,1440.13,2124,0.548048734664917
2.585545063018799,143,1466.59,2299,0.6542181968688965
2.3618245124816895,144,1390.27,2076,0.5645020008087158
2.4680721759796143,143,1450.30,2188,0.5984535217285156
2.64797306060791,143,1482.18,2347,0.7085192203521729
2.758901596069336,144,1494.53,2499,0.8469698429107666
2.584907293319702,144,1482.84,2276,0.6244246959686279
2.6927359104156494,144,1555.43,2339,0.6394076347351074
2.504453182220459,143,1372.31,2154,0.6364872455596924
2.2999606132507324,144,1322.88,1976,0.526059627532959
2.1447391510009766,143,1246.69,1905,0.5235159397125244
2.679107666015625,144,1521.75,2281,0.6280949115753174
2.486050844192505,144,1377.45,2173,0.594749927520752
2.4060609340667725,144,1364.15,2098,0.608513593673706
2.5499441623687744,144,1451.25,2217,0.5944180488586426
2.3735625743865967,143,1347.59,2077,0.5910401344299316
2.4109787940979004,144,1379.35,2134,0.6301093101501465
2.581295967102051,144,1456.39,2283,0.6636443138122559
2.4790408611297607,144,1376.39,2124,0.600672721862793
2.3591623306274414,144,1353.42,2030,0.5547292232513428
2.728523015975952,143,1492.75,2347,0.680243968963623
3.107619524002075,144,1698.26,2772,0.8734092712402344
2.979313373565674,144,1522.23,2376,0.6852929592132568
2.3798182010650635,144,1318.30,1978,0.5410487651824951
2.4737930297851562,143,1407.63,2141,0.5787007808685303
2.401867628097534,144,1475.91,2096,0.4987199306488037
2.6215980052948,145,1387.71,2268,0.6849758625030518
