torch_import_time,torchvision_import_time,model_download_time,image_download_time,classification_time,exec_time,e2e_latency,mem_used,duration,billed_duration,import_time
3.1096503734588623,10.825964450836182,3.6709792613983154,0.44509148597717285,0.498852014541626,6.193775177001953,31.5751371383667,636,20616.52,20617,14.36630368232727
2.9617130756378174,10.288368225097656,2.2367117404937744,0.24782586097717285,0.41884422302246094,4.2198708057403564,28.723920345306396,633,17914.22,17915,13.640743494033813
1.6666855812072754,9.511801719665527,2.85168719291687,0.49332523345947266,0.44075536727905273,5.245198965072632,27.60199213027954,625,16794.57,16795,11.485429763793945
3.22586727142334,1.5332915782928467,2.22847056388855,0.23838472366333008,0.3513305187225342,3.9704606533050537,9.630742073059082,765,3975.98,8996,4.855191230773926
2.757127523422241,9.597989082336426,0.8242135047912598,0.3064310550689697,0.4152083396911621,2.8035824298858643,26.47642493247986,633,15630.07,15631,12.773282527923584
3.241777181625366,1.583770513534546,1.587231159210205,0.20153236389160156,0.36456918716430664,3.288738250732422,8.961273193359375,765,3292.89,8388,4.933936357498169
3.068135976791382,1.5155861377716064,1.4583733081817627,0.30001306533813477,0.37917637825012207,3.3265483379364014,4.642526149749756,765,3330.08,8149,4.668255090713501
3.68184757232666,1.6488373279571533,0.8792235851287842,0.23560595512390137,0.4035623073577881,2.675463914871216,9.016232967376709,765,2678.78,8355,5.428825616836548
3.2046315670013428,1.535625696182251,0.9223473072052002,0.30853915214538574,0.33620715141296387,2.8183350563049316,8.499037742614746,765,2821.78,7891,4.829464435577393
3.013716459274292,1.4551002979278564,0.7898147106170654,0.2311868667602539,0.3420145511627197,2.490823984146118,7.69927191734314,765,2494.34,7204,4.553860902786255
3.0271644592285156,1.4446616172790527,0.8741037845611572,0.23085355758666992,0.34345126152038574,2.596158266067505,68.69922995567322,765,2599.48,7321,4.555868148803711
3.318898916244507,1.5487751960754395,0.8712911605834961,0.2625093460083008,0.37452220916748047,2.6828277111053467,8.291504859924316,765,2686.21,7812,4.95231032371521
3.486583948135376,1.64491868019104,1.7071194648742676,0.19573640823364258,0.34763026237487793,3.3841352462768555,9.530531167984009,765,3387.86,8946,5.234527587890625
3.1966748237609863,1.6083505153656006,0.8711845874786377,0.2583637237548828,0.3426945209503174,2.6545748710632324,8.313962936401367,765,2660.59,7772,4.902284383773804
3.8628549575805664,1.741560935974121,0.9247817993164062,0.2924487590789795,0.38773465156555176,2.91432785987854,9.326595067977905,765,2918.86,8793,5.708638429641724
3.2564618587493896,1.5986754894256592,1.4915568828582764,0.20945215225219727,0.34316205978393555,3.1494271755218506,8.798051118850708,765,3153.83,8278,4.948827266693115
3.4059157371520996,1.5776128768920898,1.6004223823547363,0.29944658279418945,0.3580589294433594,3.420121192932129,9.2762291431427,765,3423.50,8676,5.070246934890747
2.941932439804077,1.5537409782409668,0.823383092880249,0.29996204376220703,0.3284735679626465,2.555065155029297,7.853102922439575,765,2558.57,7287,4.577181339263916
3.1948158740997314,1.5578727722167969,0.8741989135742188,0.2573082447052002,0.34184813499450684,2.6944520473480225,8.388824939727783,765,2697.86,7765,4.841455459594727
3.8173646926879883,1.9998276233673096,0.9778180122375488,0.19832849502563477,0.7477293014526367,3.027712821960449,9.812259912490845,765,3036.61,9221,5.917975425720215
