e2e_latency,mem_used,duration,billed_duration,import_time
38.97701668739319,122,19365.77,19366,0.15060997009277344
2.5086545944213867,178,3.99,1924,0.35779786109924316
2.440298080444336,177,2.45,1620,0.30179548263549805
1.9362633228302002,177,2.42,1621,0.26595258712768555
2.2588295936584473,177,2.59,1830,0.32756471633911133
2.0374646186828613,177,2.76,1719,0.33380794525146484
1.8511552810668945,177,2.23,1539,0.3093249797821045
2.8823187351226807,177,2.51,2314,0.3295588493347168
1.5955810546875,177,2.19,1246,0.24040675163269043
1.875288724899292,177,2.92,1533,0.27991247177124023
1.959322452545166,177,2.38,1645,0.3215982913970947
1.7146131992340088,177,2.43,1364,0.28354644775390625
2.069547414779663,177,2.55,1737,0.33506202697753906
2.030113458633423,177,3.02,1694,0.328355073928833
2.093046188354492,177,2.38,1468,0.27237486839294434
1.8713183403015137,177,2.71,1531,0.29711151123046875
1.7854645252227783,177,3.76,1507,0.27664804458618164
1.8916597366333008,177,3.49,1582,0.32705211639404297
1.8015336990356445,177,2.29,1508,0.2755591869354248
1.7587714195251465,177,2.85,1454,0.25071191787719727
1.7754266262054443,177,2.77,1485,0.27516913414001465
1.9542083740234375,177,2.27,1555,0.29554104804992676
3.5740044116973877,177,2.73,3106,0.4832878112792969
1.8249800205230713,177,2.73,1479,0.268582820892334
1.763225793838501,177,2.30,1398,0.24705290794372559
1.8107810020446777,177,2.69,1506,0.2632601261138916
1.980865716934204,177,2.45,1625,0.2923099994659424
1.9301681518554688,177,2.85,1583,0.2795553207397461
1.7784607410430908,177,2.60,1457,0.2837076187133789
1.818288803100586,177,2.68,1475,0.2733426094055176
1.78775954246521,177,2.34,1461,0.27150630950927734
1.683513879776001,177,2.33,1397,0.2668166160583496
1.822979211807251,177,2.42,1539,0.28952956199645996
1.8762829303741455,177,2.28,1538,0.27846193313598633
1.7984528541564941,177,2.47,1489,0.2769589424133301
1.9794883728027344,177,3.88,1693,0.2970542907714844
1.8880853652954102,177,2.24,1552,0.3030390739440918
1.9766900539398193,177,2.21,1663,0.36606287956237793
1.5972466468811035,177,2.26,1293,0.24424529075622559
1.8766975402832031,177,2.59,1572,0.30043554306030273
1.5196352005004883,177,2.02,1195,0.23229265213012695
1.793170690536499,177,2.55,1471,0.2720067501068115
2.224626064300537,177,2.76,1871,0.3585548400878906
2.15354323387146,177,3.10,1834,0.3361020088195801
1.7916367053985596,177,3.50,1458,0.2897636890411377
2.0069408416748047,177,2.52,1726,0.3138394355773926
1.802717685699463,177,2.65,1470,0.27860283851623535
1.5868287086486816,177,2.12,1304,0.24414515495300293
1.9246559143066406,177,3.81,1585,0.31215906143188477
1.9484117031097412,177,2.42,1556,0.3257870674133301
1.8099148273468018,177,2.52,1477,0.2830808162689209
1.7614126205444336,177,2.46,1455,0.309232234954834
2.150322437286377,177,3.01,1832,0.3762335777282715
2.1715519428253174,177,2.74,1802,0.3065223693847656
1.8527181148529053,177,2.61,1511,0.31855201721191406
1.8501524925231934,177,2.58,1511,0.2653923034667969
1.9999754428863525,177,2.35,1690,0.353900671005249
2.068640947341919,177,3.58,1755,0.40064573287963867
1.7898120880126953,177,2.71,1478,0.266376256942749
1.754366159439087,177,2.66,1439,0.2595789432525635
1.9233648777008057,177,2.41,1572,0.2903099060058594
1.8387837409973145,177,2.51,1486,0.2824718952178955
1.6873762607574463,177,2.27,1413,0.252734899520874
1.9151771068572998,177,2.63,1620,0.3048715591430664
1.8119475841522217,177,2.89,1550,0.30625104904174805
1.8295643329620361,177,2.65,1496,0.29624223709106445
1.6833598613739014,177,2.38,1386,0.2540414333343506
1.670832872390747,177,2.52,1382,0.26575469970703125
1.8172814846038818,177,2.28,1492,0.2804868221282959
1.8524162769317627,177,2.18,1538,0.2950165271759033
1.9153738021850586,177,2.79,1615,0.30529093742370605
1.7416279315948486,177,2.19,1430,0.28839564323425293
1.9857983589172363,177,2.41,1667,0.25792932510375977
2.1404764652252197,177,2.41,1766,0.343733549118042
2.1835291385650635,177,2.84,1788,0.3468005657196045
2.0128414630889893,177,2.71,1690,0.3190774917602539
2.054652214050293,177,2.45,1732,0.39505648612976074
1.904130458831787,177,2.39,1623,0.32469654083251953
1.8382835388183594,177,2.50,1498,0.302750825881958
1.9332215785980225,177,2.45,1630,0.3483874797821045
1.8771083354949951,177,2.52,1573,0.3052244186401367
1.6565473079681396,177,2.08,1346,0.2474048137664795
1.8090953826904297,177,2.46,1499,0.2756919860839844
2.061234712600708,177,2.67,1748,0.3320767879486084
2.219770908355713,177,2.57,1842,0.41473913192749023
