e2e_latency,mem_used,duration,billed_duration,import_time
45.777581214904785,615,34967.11,34968,24.119529247283936
6.452156066894531,824,498.64,5876,3.4219627380371094
6.441935777664185,823,512.88,5956,3.289273262023926
6.180351972579956,816,484.84,5776,3.2294023036956787
6.493743181228638,826,533.33,5995,3.2103054523468018
6.036621809005737,826,490.14,5722,3.2047016620635986
6.767463445663452,824,508.70,6290,3.540862560272217
6.353833198547363,822,501.76,6053,3.40863037109375
7.77490758895874,824,506.26,7230,4.029435873031616
6.495739698410034,824,494.00,6012,3.414125919342041
6.146449089050293,826,556.26,5821,3.2159552574157715
6.686979055404663,823,559.91,6357,3.5875351428985596
5.871739149093628,826,496.03,5561,3.056342363357544
7.05990195274353,825,1256.84,6644,3.0939502716064453
6.775324583053589,826,551.50,6376,3.4607186317443848
6.259836912155151,825,1146.65,5912,2.8114192485809326
6.177454233169556,822,497.33,5867,3.2920610904693604
4.967998504638672,822,451.37,4717,2.5668435096740723
5.0961363315582275,822,416.56,4769,2.6366899013519287
4.967792987823486,826,459.59,4659,2.5446743965148926
6.0819432735443115,822,493.04,5775,3.1936416625976562
4.995321273803711,826,473.16,4709,2.52351713180542
6.523499011993408,826,520.34,6187,3.4995789527893066
6.181016445159912,819,500.57,5852,3.2493953704833984
5.963141202926636,826,511.10,5681,3.105656862258911
4.983417272567749,826,448.41,4730,2.590226411819458
6.281954526901245,824,489.29,5992,3.3699326515197754
6.055294036865234,824,496.00,5751,3.227475643157959
5.811528444290161,823,491.35,5495,3.038973331451416
5.884463310241699,823,484.93,5596,3.0744097232818604
6.337246656417847,826,512.93,5931,3.286118507385254
5.994760036468506,823,492.66,5706,3.163205623626709
6.260019779205322,824,497.97,5817,3.247990131378174
6.566521883010864,826,516.12,6237,3.4705331325531006
6.16096305847168,824,499.42,5832,3.28328013420105
5.867591142654419,823,505.01,5608,3.0395865440368652
5.868851184844971,822,476.36,5584,3.1116843223571777
6.0518271923065186,823,490.18,5701,3.19120192527771
6.044427871704102,821,474.26,5694,3.2006404399871826
5.969099998474121,826,523.40,5560,3.00581431388855
6.367342233657837,823,511.66,6068,3.448535680770874
5.870038747787476,824,500.67,5595,3.0603301525115967
5.481929779052734,822,465.95,5113,2.730367660522461
6.053346633911133,826,515.36,5610,3.1323211193084717
6.0306901931762695,823,504.64,5665,3.0884921550750732
6.405702590942383,824,538.96,6046,3.3178203105926514
6.075664520263672,824,501.07,5703,3.149461030960083
6.09453272819519,825,499.44,5799,3.1960692405700684
6.485185384750366,826,514.47,6103,3.434420347213745
6.001299858093262,822,491.81,5737,3.145371437072754
6.294283151626587,823,511.25,5914,3.257612466812134
5.12618613243103,826,465.61,4854,2.5961244106292725
5.492713928222656,826,830.57,5162,2.605295181274414
5.896911859512329,822,473.76,5523,3.070983648300171
6.062818765640259,824,514.09,5680,3.165678024291992
6.445510625839233,826,509.34,6134,3.5102386474609375
6.238735675811768,826,503.35,5941,3.2941246032714844
5.119889259338379,826,456.82,4782,2.621030330657959
5.1038055419921875,826,459.75,4807,2.6073787212371826
6.132443904876709,826,512.72,5812,3.188027858734131
6.003310441970825,824,480.88,5692,3.151898145675659
5.0644495487213135,824,453.09,4768,2.568851947784424
5.4836039543151855,825,486.42,5214,2.9058260917663574
6.693349123001099,822,527.68,6311,3.4996283054351807
6.091628313064575,822,486.95,5737,3.2098965644836426
5.964097499847412,827,492.03,5639,3.114767551422119
6.828619956970215,823,486.33,6428,3.732495069503784
5.32399845123291,826,482.94,5012,2.723717212677002
6.103349685668945,824,494.94,5775,3.1873786449432373
5.965508937835693,824,505.86,5623,3.0840556621551514
6.751736402511597,821,544.29,6270,3.461848735809326
5.864609241485596,820,493.51,5589,3.1119256019592285
5.564432621002197,825,539.47,5180,2.6877362728118896
5.175357341766357,820,462.02,4884,2.6636693477630615
6.090512275695801,824,478.66,5660,3.169954776763916
5.861214876174927,824,483.57,5578,3.123108386993408
5.841968059539795,824,485.49,5577,3.0915749073028564
5.745964288711548,823,497.08,5485,2.9950883388519287
6.14948582649231,824,491.31,5847,3.2952826023101807
5.264680624008179,826,510.84,4881,2.6091973781585693
6.584618330001831,826,505.83,6151,3.484227180480957
6.2007200717926025,823,484.32,5939,3.2966082096099854
5.9955010414123535,826,502.34,5728,3.189785957336426
6.1343443393707275,822,487.98,5753,3.1180472373962402
6.44465970993042,827,503.71,6139,3.52776837348938
7.182438850402832,826,515.65,6834,4.140897512435913
6.38794469833374,824,507.95,6025,3.305903673171997
6.585346698760986,824,498.91,6174,3.448441505432129
5.486710548400879,823,487.60,5126,2.8349082469940186
6.292920827865601,822,535.30,5913,3.2637248039245605
6.004329681396484,826,519.10,5713,3.145549774169922
5.966365337371826,814,504.62,5687,3.088300943374634
7.063780307769775,822,482.81,6738,3.9686331748962402
7.16390585899353,827,545.25,6882,3.8668503761291504
5.480074644088745,823,783.40,5215,2.658696174621582
5.482429265975952,824,490.20,5186,2.8357832431793213
6.114382266998291,825,505.83,5842,3.289447069168091
6.755807876586914,826,508.11,6489,3.841176748275757
6.032830238342285,826,505.46,5701,3.2121849060058594
6.487115383148193,823,509.46,6164,3.4875106811523438
