e2e_latency,mem_used,duration,billed_duration,import_time
0.0861661434173584,46,8.73,9,0.3280315399169922
0.07670283317565918,46,8.75,9,0.3280315399169922
0.07698488235473633,46,8.51,9,0.3280315399169922
0.07685494422912598,46,8.18,9,0.3280315399169922
0.08283376693725586,46,7.94,8,0.3280315399169922
0.0769350528717041,46,7.92,8,0.3280315399169922
0.07759523391723633,47,8.01,9,0.3280315399169922
0.08064603805541992,47,7.92,8,0.3280315399169922
0.0769956111907959,47,7.85,8,0.3280315399169922
0.08414268493652344,47,7.98,8,0.3280315399169922
0.07954835891723633,47,7.73,8,0.3280315399169922
0.0762476921081543,47,7.93,8,0.3280315399169922
0.07674336433410645,47,7.89,8,0.3280315399169922
0.07750272750854492,47,8.12,9,0.3280315399169922
0.07716035842895508,47,8.04,9,0.3280315399169922
0.07599067687988281,47,8.07,9,0.3280315399169922
0.07776951789855957,47,7.91,8,0.3280315399169922
0.07434248924255371,47,7.91,8,0.3280315399169922
0.07594466209411621,47,8.86,9,0.3280315399169922
0.07768917083740234,47,8.13,9,0.3280315399169922
0.07898879051208496,47,8.14,9,0.3280315399169922
0.08173799514770508,47,7.79,8,0.3280315399169922
0.07644248008728027,47,7.84,8,0.3280315399169922
0.07606983184814453,47,8.02,9,0.3280315399169922
0.08073902130126953,47,10.42,11,0.3280315399169922
0.07749056816101074,47,7.93,8,0.3280315399169922
0.07638216018676758,47,9.02,10,0.3280315399169922
0.07599639892578125,47,8.17,9,0.3280315399169922
0.07576441764831543,47,8.25,9,0.3280315399169922
0.07454872131347656,47,7.83,8,0.3280315399169922
0.07612895965576172,47,7.88,8,0.3280315399169922
0.07536172866821289,48,8.59,9,0.3280315399169922
0.07532644271850586,48,8.05,9,0.3280315399169922
0.0819237232208252,48,9.57,10,0.3280315399169922
0.07641887664794922,48,7.74,8,0.3280315399169922
0.07604813575744629,48,8.61,9,0.3280315399169922
0.07834506034851074,48,8.37,9,0.3280315399169922
0.07745623588562012,48,7.92,8,0.3280315399169922
0.07910752296447754,48,7.78,8,0.3280315399169922
0.07965755462646484,48,9.35,10,0.3280315399169922
0.07741141319274902,48,7.63,8,0.3280315399169922
0.07941699028015137,48,7.97,8,0.3280315399169922
0.07780241966247559,48,8.92,9,0.3280315399169922
0.07878494262695312,48,8.00,8,0.3280315399169922
0.07872557640075684,48,9.01,10,0.3280315399169922
0.0760200023651123,48,7.82,8,0.3280315399169922
0.07670712471008301,48,8.64,9,0.3280315399169922
0.07945728302001953,48,8.82,9,0.3280315399169922
0.0768442153930664,48,8.16,9,0.3280315399169922
0.07992291450500488,48,7.94,8,0.3280315399169922
0.07821488380432129,48,7.85,8,0.3280315399169922
0.07688212394714355,48,8.02,9,0.3280315399169922
0.081756591796875,48,8.19,9,0.3280315399169922
0.07814621925354004,48,8.63,9,0.3280315399169922
0.07856917381286621,48,9.16,10,0.3280315399169922
0.07689881324768066,48,7.88,8,0.3280315399169922
0.07868313789367676,48,7.92,8,0.3280315399169922
0.07681775093078613,48,7.75,8,0.3280315399169922
0.07622838020324707,48,8.06,9,0.3280315399169922
0.0763559341430664,48,8.16,9,0.3280315399169922
0.0807332992553711,48,9.26,10,0.3280315399169922
0.0785379409790039,48,8.24,9,0.3280315399169922
0.07750892639160156,48,8.00,9,0.3280315399169922
0.08374261856079102,48,7.92,8,0.3280315399169922
0.07744073867797852,48,8.15,9,0.3280315399169922
0.07764077186584473,48,7.85,8,0.3280315399169922
0.07743597030639648,48,7.93,8,0.3280315399169922
0.07792997360229492,48,8.43,9,0.3280315399169922
0.07728743553161621,48,8.14,9,0.3280315399169922
0.0782158374786377,48,8.17,9,0.3280315399169922
0.07735252380371094,48,8.88,9,0.3280315399169922
0.07710719108581543,48,8.32,9,0.3280315399169922
0.07796764373779297,48,8.14,9,0.3280315399169922
0.07531476020812988,48,8.10,9,0.3280315399169922
0.0759131908416748,48,7.86,8,0.3280315399169922
0.08147287368774414,48,8.03,9,0.3280315399169922
0.07944369316101074,48,8.26,9,0.3280315399169922
0.07871055603027344,48,8.05,9,0.3280315399169922
0.07503008842468262,48,8.04,9,0.3280315399169922
0.07820916175842285,48,8.18,9,0.3280315399169922
0.07875323295593262,48,8.15,9,0.3280315399169922
0.07699108123779297,48,8.23,9,0.3280315399169922
0.0778203010559082,48,8.83,9,0.3280315399169922
0.07717251777648926,48,8.34,9,0.3280315399169922
0.07785892486572266,48,8.13,9,0.3280315399169922
0.08238649368286133,48,10.12,11,0.3280315399169922
0.08184361457824707,48,8.37,9,0.3280315399169922
0.07598209381103516,48,8.09,9,0.3280315399169922
0.07633209228515625,48,8.34,9,0.3280315399169922
0.07648825645446777,48,8.25,9,0.3280315399169922
0.07723307609558105,48,8.09,9,0.3280315399169922
0.07945823669433594,48,8.33,9,0.3280315399169922
0.07661795616149902,48,7.74,8,0.3280315399169922
0.0779426097869873,48,8.34,9,0.3280315399169922
0.07640290260314941,48,8.16,9,0.3280315399169922
0.07756590843200684,48,9.61,10,0.3280315399169922
0.07575511932373047,48,7.96,8,0.3280315399169922
0.07784533500671387,48,7.94,8,0.3280315399169922
0.07674384117126465,48,7.98,8,0.3280315399169922
